ym,country,theme_code,n_docs
2022-01,CE,TAX,15279
2022-01,CE,WB,13320
2022-01,CE,EPU,11755
2022-01,CE,UNGP,10298
2022-01,CE,CRISISLEX,10222
2022-01,CE,GENERAL,9991
2022-01,CE,USPEC,8833
2022-01,CE,SOC,6617
2022-01,CE,ECON,6134
2022-01,CE,LEADER,5941
2022-01,CE,MEDIA,4635
2022-01,CE,EDUCATION,4466
2022-01,CE,MEDICAL,4386
2022-01,CE,MANMADE,4120
2022-01,CE,HEALTH,3505
2022-01,CE,ENV,2750
2022-01,CE,ARMEDCONFLICT,2675
2022-01,CE,SCIENCE,2624
2022-01,CE,KILL,2624
2022-01,CE,LEGISLATION,2113
2022-01,CE,AFFECT,2045
2022-01,CE,MARITIME,1964
2022-01,CE,AGRICULTURE,1831
2022-01,CE,NATURAL,1794
2022-01,CE,TOURISM,1630
2022-01,CE,SECURITY,1514
2022-01,CE,SELF,1502
2022-01,CE,ARREST,1487
2022-01,CE,MOVEMENT,1467
2022-01,CE,PROTEST,1453
2022-01,CE,SHORTAGE,1449
2022-01,CE,MILITARY,1375
2022-01,CE,DELAY,1251
2022-01,CE,IDEOLOGY,1227
2022-01,CE,UNREST,1212
2022-01,CE,FOOD,1152
2022-01,CE,SLFID,1107
2022-01,CE,RELIGION,1104
2022-01,CE,TRIAL,1012
2022-01,CE,TERROR,970
2022-01,CE,ELECTION,956
2022-01,CE,BAN,946
2022-01,CE,CONSTITUTIONAL,827
2022-01,CE,APPOINTMENT,823
2022-01,CE,POVERTY,820
2022-01,CE,NEGOTIATIONS,764
2022-01,CE,BORDER,730
2022-01,CE,DEMOCRACY,725
2022-01,CE,ALLIANCE,642
2022-01,CE,PUBLIC,637
2022-01,CE,CORRUPTION,636
2022-01,CE,WOUND,606
2022-01,CE,SOVEREIGNTY,547
2022-01,CE,DISCRIMINATION,539
2022-01,CE,GEN,534
2022-01,CE,URBAN,515
2022-01,CE,SANCTIONS,497
2022-01,CE,IMMIGRATION,492
2022-01,CE,RURAL,472
2022-01,CE,GOV,459
2022-01,CE,HUMAN,457
2022-01,CE,EXTREMISM,452
2022-01,CE,REFUGEES,433
2022-01,CE,REBELLION,412
2022-01,CE,TRANSPARENCY,410
2022-01,CE,INFO,353
2022-01,CE,SEIGE,311
2022-01,CE,CRIME,309
2022-01,CE,RECRUITMENT,309
2022-01,CE,WATER,306
2022-01,CE,UNEMPLOYMENT,279
2022-01,CE,SEIZE,267
2022-01,CE,RESIGNATION,257
2022-01,CE,FUELPRICES,256
2022-01,CE,TRAFFIC,253
2022-01,CE,RETIREMENT,253
2022-01,CE,BLOCKADE,246
2022-01,CE,PEACEKEEPING,242
2022-01,CE,SMUGGLING,239
2022-01,CE,NEW,212
2022-01,CE,ETH,210
2022-01,CE,POLITICAL,197
2022-01,CE,KIDNAP,193
2022-01,CE,RELATIONS,179
2022-01,CE,DRUG,178
2022-01,CE,EVACUATION,177
2022-01,CE,TORTURE,173
2022-01,CE,TAKE,171
2022-01,CE,TECH,168
2022-01,CE,CYBER,151
2022-01,CE,SCANDAL,151
2022-01,CE,JUSTICE,149
2022-01,CE,AID,148
2022-01,CE,RETALIATE,148
2022-01,CE,DISASTER,144
2022-01,CE,PERSECUTION,139
2022-01,CE,REBELS,139
2022-01,CE,RAPE,138
2022-01,CE,HARASSMENT,126
2022-01,CE,STRIKE,123
2022-01,CE,ACT,121
2022-01,CE,DEATH,121
2022-01,CE,DISABILITY,120
2022-01,CE,VIOLENT,114
2022-01,CE,ORGANIZED,113
2022-01,CE,PROPAGANDA,106
2022-01,CE,SURVEILLANCE,95
2022-01,CE,CLOSURE,94
2022-01,CE,SANITATION,92
2022-01,CE,SEPARATISTS,85
2022-01,CE,POWER,85
2022-01,CE,GRIEVANCES,83
2022-01,CE,INSURGENCY,83
2022-01,CE,CEASEFIRE,81
2022-01,CE,RELEASE,81
2022-01,CE,AUSTERITY,77
2022-01,CE,RATIFY,75
2022-01,CE,CONFISCATION,74
2022-01,CE,DRONES,73
2022-01,CE,WMD,72
2022-01,CE,TREASON,67
2022-01,CE,SUICIDE,64
2022-01,CE,PROPERTY,63
2022-01,CE,DISPLACED,63
2022-01,CE,CURFEW,60
2022-01,CE,FREESPEECH,60
2022-01,CE,INEQUALITY,57
2022-01,CE,EXILE,57
2022-01,CE,AVIATION,52
2022-01,CE,PIRACY,49
2022-01,CE,BLACK,47
2022-01,CE,INTERNET,46
2022-01,CE,BULLYING,45
