Type,Name,Date Added,Modified History,Description
Theme,ACT_FORCEPOSTURE,2014-10-01 00:00:00,2014-10-01 00:00:00,Actions relating to changes in force posture
Theme,ACT_HARMTHREATEN,2014-10-01 00:00:00,2014-10-01 00:00:00,Actions relating to harming or threatening
Theme,ACT_MAKESTATEMENT,2014-10-01 00:00:00,2014-10-01 00:00:00,Actions relating to making a statement
Theme,ACT_YIELD,2014-10-01 00:00:00,2014-10-01 00:00:00,Actions relating to yielding
Count,AFFECT,2013-10-13 00:00:00,2013-10-13 00:00:00,"This broad category captures everything from being sickened to refugees, evacuations, displaced persons, stranded, etc"
Theme,AGRICULTURE,2013-10-13 00:00:00,2013-10-13 00:00:00,General discussion of agriculture
Theme,ALLIANCE,2014-05-18 00:00:00,2014-05-18 00:00:00,Self-identified discussion of alliances and coalitions
Theme,APPOINTMENT,2013-10-13 00:00:00,2013-10-13 00:00:00,An appointment of someone to something
Theme,ARMEDCONFLICT,2013-10-13 00:00:00,2013-10-13 00:00:00,"Primary discussion of armed conflict, from ground assaults to air raids"
Count,ARREST,2013-10-13 00:00:00,2013-10-13 00:00:00,"Discussion of someone being arrested, detained, jailed, imprisoned, etc"
Theme,ASSASSINATION,2013-10-13 00:00:00,2013-10-13 00:00:00,Actual discussion of assassination
Theme,AUSTERITY,2014-02-20 00:00:00,2014-02-20 00:00:00,Mention of austerity.
Theme,AVIATION_INCIDENT,2014-02-20 00:00:00,2014-02-20 00:00:00,"Plane/helicopter crashes, collisions, accidents."
Theme,BAN,2013-10-13 00:00:00,2013-10-13 00:00:00,"Something being banned, prohibited, outlawed, criminalized, etc"
Theme,BLACK_MARKET,2013-10-13 00:00:00,2013-10-13 00:00:00,"Actual mentions of ""black market"", not related terms"
Theme,BLOCKADE,2013-10-13 00:00:00,2013-10-13 00:00:00,Mentions of blockades and no fly zones - use in combination with the military themes to distinguish armed vs non-kinetic blockades
Theme,BORDER,2013-10-13 00:00:00,2013-10-13 00:00:00,Any discussion of borders
Theme,BULLYING,2013-12-20 00:00:00,2013-12-20 00:00:00,"Explicit mention of the word ""bullying/cyberbullying"""
Theme,CEASEFIRE,2013-10-13 00:00:00,2013-10-13 00:00:00,"Mentions of ceasefires, truces, peace deals, suspension of hostilities, etc"
Theme,CHARASMATIC_LEADERSHIP,2014-05-06 00:00:00,2014-05-06 00:00:00,Charasmatic leadership
Theme,CHECKPOINT,2013-10-13 00:00:00,2013-10-13 00:00:00,Security checkpoints
Theme,CLAIM_CREDIT,2013-10-13 00:00:00,2013-10-13 00:00:00,"Claims of responsibility or credit, for good (claimed credit for the success) and bad (claimed credit for the bombing)"
Theme,CLOSURE,2013-10-13 00:00:00,2013-10-13 00:00:00,"Discussion of closure other than road, bridge, street, closure (ie, facility closure, military base closure, etc)"
Theme,CONFISCATION,2013-10-13 00:00:00,2013-10-13 00:00:00,Actual mention of confiscation in the text
Theme,CONSTITUTIONAL,2013-10-13 00:00:00,2013-10-13 00:00:00,Discussion of constitutionalism
Theme,CORRUPTION,2013-10-13 00:00:00,2013-10-13 00:00:00,"Corruption, kickbacks, embezzling, profiteering, etc"
Theme,CRIME_CARTELS,2013-10-13 00:00:00,2013-10-13 00:00:00,"Primarily focused around mentions of drug cartels, drug corridors, etc.  Does not currently have a list of cartels, just captures general discussion of them"
Theme,CRIME_COMMON_ROBBERY,2013-10-13 00:00:00,2013-10-13 00:00:00,"Discussion of general crime like pickpocketing, robbery, street criminals, etc"
Theme,CRIME_ILLEGAL_DRUGS,2013-10-13 00:00:00,2013-10-13 00:00:00,Mentions of illegal drugs
Theme,CURFEW,2013-10-13 00:00:00,2013-10-13 00:00:00,Discussion of any curfew
Theme,CYBER_ATTACK,2013-10-13 00:00:00,2013-10-13 00:00:00,"Any discussion of cyberwarfare, cyberattacks, phishing, hacking, hacktivists, viruses, etc"
Theme,DEATH_PENALTY,2013-10-13 00:00:00,2013-10-13 00:00:00,From general discussion of capital punishment to actual mentions of death sentences
Theme,DEFECTION,2013-10-13 00:00:00,2013-10-13 00:00:00,Any discussion of defection or defectors
Theme,DELAY,2013-10-13 00:00:00,2013-10-13 00:00:00,"Canceling, postponing, stalling delaying anything"
Theme,DEMOCRACY,2013-10-13 00:00:00,2013-10-13 00:00:00,"Actual mention of the term ""democracy"""
Theme,DISABILITY,2014-02-20 00:00:00,2014-02-20 00:00:00,"Disability, disabled, handicapped."
Theme,DISCRIMINATION,2013-10-13 00:00:00,2013-10-13 00:00:00,"Racism, homophobia, xenophobia, etc"
Count,DISPLACED,2013-10-25 00:00:00,2013-10-25 00:00:00,"This category counts mentions of people being displaced - see REFUGEES for counts of refugees, forced migration, and related"
Theme,DRONE,2014-02-20 00:00:00,2014-02-20 00:00:00,"Drones, UAVs."
Theme,DRUG_TRADE,2013-10-13 00:00:00,2013-10-13 00:00:00,General discussion of the drug trade in broad terms - broader than the other categories
Theme,ECON_BANKRUPTCY,2013-10-13 00:00:00,2013-10-13 00:00:00,Bankruptcy and bailouts
Theme,ECON_BOYCOTT,2014-10-01 00:00:00,2014-10-01 00:00:00,Boycotts
Theme,ECON_COST_OF_LIVING,2013-10-13 00:00:00,2013-10-13 00:00:00,"Explicit mention of ""cost of living"", ""median wage"", etc"
Theme,ECON_CURRENCY_EXCHANGE_RATE,2013-10-13 00:00:00,2013-10-13 00:00:00,"Exchange rates, foreign exchange, forex, currency fluctuation,  etc"
Theme,ECON_CURRENCY_RESERVES,2013-10-13 00:00:00,2013-10-13 00:00:00,"Currency reserves, forex reserves, dollar and euro reserves, etc"
Theme,ECON_CUTOUTLOOK,2014-10-01 00:00:00,2014-10-01 00:00:00,Cutting economic outlook
Theme,ECON_DEBT,2014-04-26 00:00:00,2014-04-26 00:00:00,Discussion of debt
Theme,ECON_DEREGULATION,2013-10-13 00:00:00,2013-10-13 00:00:00,Economic deregulation
Theme,ECON_EARNINGSREPORT,2013-10-13 00:00:00,2013-10-13 00:00:00,"Earnings reports, etc"
Theme,ECON_ENTREPRENEURSHIP,2013-10-13 00:00:00,2013-10-13 00:00:00,"Entrepreneurship, venture capital, seed funding, angel investors, etc"
Theme,ECON_FOREIGNINVEST,2014-10-01 00:00:00,2014-10-01 00:00:00,Foreign investment
Theme,ECON_FREETRADE,2014-10-01 00:00:00,2014-10-01 00:00:00,Free trade
Theme,ECON_HOUSING_PRICES,2013-10-13 00:00:00,2013-10-13 00:00:00,"Housing prices, real estate, and other explicit discussion of property"
Theme,ECON_INFORMAL_ECONOMY,2014-05-03 00:00:00,2014-05-03 00:00:00,Informal economies
Theme,ECON_INTEREST_RATES,2013-10-13 00:00:00,2013-10-13 00:00:00,"Interest rates, benchmark rates, overnight rates, libor, etc"
Theme,ECON_IPO,2013-10-13 00:00:00,2013-10-13 00:00:00,Initial Public Offerings
Theme,ECON_MONOPOLY,2013-10-13 00:00:00,2013-10-13 00:00:00,"Monopolies, anticompetitive practice, etc"
