theme_code,text_repr,iptc_rule_id,iptc_rule_label,rule_confidence,iptc_nn_id,iptc_nn_label,nn_score,iptc_second_id,iptc_second_label,second_score,iptc_final_id,iptc_final_label,decision_source,final_confidence
ACT,ACT - Act,,,0.0,02000000,"crime, law and justice",0.318124383687973,11000000,politics and government,0.2623347043991089,02000000,"crime, law and justice",nn_weak,0.318124383687973
AFFECT,AFFECT - SOCIETY / SOCIAL ISSUES - Emotional content and sentiment - Affect,08000000,human interest,0.9,14000000,society,0.4878619313240051,01000000,"arts, culture, entertainment and media",0.3989377021789551,14000000,society,nn_override,0.4878619313240051
AGRICULTURE,AGRICULTURE - ECONOMY / FINANCE - Agricultural activities - Agriculture,,,0.0,04000000,"economy, business and finance",0.6296687126159668,10000000,lifestyle and leisure,0.45228007435798645,04000000,"economy, business and finance",nn_confident,0.6296687126159668
AID,AID - Aid,13000000,science and technology,0.9,14000000,society,0.2974327504634857,03000000,"disaster, accident and emergency incident",0.28450286388397217,13000000,science and technology,rule_preferred,0.9
ALLIANCE,ALLIANCE - Alliance,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.2942839562892914,15000000,sport,0.24117527902126312,16000000,"conflict, war and peace",agreement,0.9
APPOINTMENT,APPOINTMENT - Appointment,09000000,labour,0.9,17000000,weather,0.16018612682819366,07000000,health,0.1503339409828186,09000000,labour,rule_preferred,0.9
ARMEDCONFLICT,ARMEDCONFLICT - CONFLICT / WAR / PEACE - Armed conflicts and military operations - Armedconflict,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.7253273725509644,11000000,politics and government,0.2963492274284363,16000000,"conflict, war and peace",agreement,0.9
ARREST,ARREST - Arrest,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.442369282245636,11000000,politics and government,0.17874085903167725,02000000,"crime, law and justice",agreement,0.9
ASSASSINATION,ASSASSINATION - Assassination,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.24439799785614014,16000000,"conflict, war and peace",0.22701197862625122,02000000,"crime, law and justice",agreement,0.9
AUSTERITY,AUSTERITY - Austerity,04000000,"economy, business and finance",0.9,11000000,politics and government,0.3472282886505127,14000000,society,0.33745068311691284,04000000,"economy, business and finance",ambiguous,0.6236141443252563
AVIATION,AVIATION - Aviation,13000000,science and technology,0.9,15000000,sport,0.2865920662879944,13000000,science and technology,0.2534942626953125,13000000,science and technology,rule_preferred,0.9
BAN,BAN - Ban,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.1379425823688507,13000000,science and technology,0.11015470325946808,02000000,"crime, law and justice",agreement,0.9
BLACK,BLACK - Black,14000000,society,0.8,17000000,weather,0.13566309213638306,02000000,"crime, law and justice",0.13050195574760437,14000000,society,rule_preferred,0.8
BLOCKADE,BLOCKADE - Blockade,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.14575660228729248,09000000,labour,0.12450432777404785,16000000,"conflict, war and peace",agreement,0.9
BORDER,BORDER - Border,09000000,labour,0.9,09000000,labour,0.23146328330039978,11000000,politics and government,0.1982523649930954,09000000,labour,agreement,0.9
BULLYING,BULLYING - Bullying,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.2257952243089676,05000000,education,0.18879172205924988,02000000,"crime, law and justice",agreement,0.9
