theme_code,text_repr,issue_category,iptc_id,iptc_label,iptc_definition,similarity,iptc_label_2nd,similarity_2nd,confidence,cluster_id,tsne_x,tsne_y
ACT,ACT,,15000000,sport,Competitive activity or skill that involves physical and/or mental effort and organisations and bodies involved in these activities,0.33068192,"crime, law and justice",0.31228185,0.018400073,2,37.43274,82.32208
AFFECT,AFFECT - SOCIETY / SOCIAL ISSUES - Emotional content and sentiment,SOCIETY / SOCIAL ISSUES,8000000,human interest,"Item that discusses individuals, groups, animals, plants or other objects in an emotional way",0.4876348,society,0.4695111,0.018123716,3,51.692547,18.528511
AGRICULTURE,AGRICULTURE - ECONOMY / FINANCE - Agricultural activities,ECONOMY / FINANCE,4000000,"economy, business and finance","All matters concerning the planning, production and exchange of wealth",0.58954513,labour,0.39603722,0.19350791,5,95.0,39.50069
AID,AID,,14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare",0.2685747,"conflict, war and peace",0.2522482,0.016326517,2,58.230965,59.77124
ALLIANCE,ALLIANCE,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.24075815,society,0.1736954,0.06706275,0,25.123741,84.849945
APPOINTMENT,APPOINTMENT,,17000000,weather,The study and prediction and reporting of meteorological phenomena,0.14847124,lifestyle and leisure,0.13877293,0.009698302,1,52.1818,52.0946
ARMEDCONFLICT,ARMEDCONFLICT - CONFLICT / WAR / PEACE - Armed conflicts and military operations,CONFLICT / WAR / PEACE,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.6503447,society,0.29388255,0.35646218,6,33.934715,18.47309
ARREST,ARREST,,2000000,"crime, law and justice","The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",0.41821367,politics and government,0.18331861,0.23489505,2,20.600044,57.503277
ASSASSINATION,ASSASSINATION,,3000000,"disaster, accident and emergency incident",Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property,0.26411596,"conflict, war and peace",0.23809198,0.026023984,2,15.953952,57.162777
AUSTERITY,AUSTERITY,,14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare",0.32782626,"economy, business and finance",0.295269,0.03255725,5,85.036095,41.950237
AVIATION,AVIATION,,13000000,science and technology,"All aspects pertaining to human understanding of and methodical study and research of natural, formal and social sciences",0.20385018,"disaster, accident and emergency incident",0.17652524,0.027324945,0,73.581696,48.10535
BAN,BAN,,2000000,"crime, law and justice","The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",0.22415146,"conflict, war and peace",0.1191873,0.10496416,0,32.47492,67.20859
BLACK,BLACK,,3000000,"disaster, accident and emergency incident",Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property,0.13990785,"conflict, war and peace",0.12835643,0.011551425,0,66.49072,72.1545
BLOCKADE,BLOCKADE,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.24925116,politics and government,0.16980882,0.07944234,0,12.038609,44.571327
BORDER,BORDER,,11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states",0.18956426,society,0.16933763,0.020226628,1,8.005068,47.158535
BULLYING,BULLYING,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.29751736,"crime, law and justice",0.269091,0.02842635,1,24.409044,65.62593
CEASEFIRE,CEASEFIRE,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.4324023,politics and government,0.21108212,0.2213202,6,27.659525,23.828709
CHARASMATIC,CHARASMATIC,,3000000,"disaster, accident and emergency incident",Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property,0.17659055,religion,0.17196256,0.0046279877,0,64.510025,53.586
CHECKPOINT,CHECKPOINT,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.14579444,"disaster, accident and emergency incident",0.11712748,0.028666958,0,7.1010876,56.870903
CLAIM,CLAIM,,9000000,labour,"Social aspects, organisations, rules and conditions affecting the employment of human effort for the generation of wealth or provision of services and the economic support of the unemployed",0.15831375,"disaster, accident and emergency incident",0.15760064,0.00071310997,0,46.082615,71.853874
CLOSURE,CLOSURE,,11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states",0.13535732,environment,0.13348037,0.0018769503,0,45.12489,84.36495
CONFISCATION,CONFISCATION,,2000000,"crime, law and justice","The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",0.15598172,politics and government,0.100639194,0.055342525,0,33.206238,69.15451
CONSTITUTIONAL,CONSTITUTIONAL,,11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states",0.40943435,"crime, law and justice",0.30633864,0.10309571,4,58.44738,40.659454
CORRUPTION,CORRUPTION,,14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare",0.34821862,"crime, law and justice",0.3111115,0.03710711,4,26.874693,46.155746
CRIME,CRIME,,2000000,"crime, law and justice","The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",0.63270974,"disaster, accident and emergency incident",0.2929897,0.33972004,2,22.062132,54.70653
CRISISLEX,CRISISLEX - CONFLICT / WAR / PEACE - Crisis events and conflicts,CONFLICT / WAR / PEACE,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.5937538,"disaster, accident and emergency incident",0.3335595,0.2601943,6,40.658794,18.550903
CRM,CRM,,17000000,weather,The study and prediction and reporting of meteorological phenomena,0.1407547,"disaster, accident and emergency incident",0.13609862,0.0046560764,0,47.144814,90.682915
CURFEW,CURFEW,,2000000,"crime, law and justice","The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",0.22158447,lifestyle and leisure,0.20989165,0.011692822,0,27.85384,69.05676
CYBER,CYBER,,13000000,science and technology,"All aspects pertaining to human understanding of and methodical study and research of natural, formal and social sciences",0.24791434,society,0.20858762,0.039326727,0,59.416763,71.661934
DEATH,DEATH,,3000000,"disaster, accident and emergency incident",Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property,0.40687028,health,0.22613841,0.18073186,2,34.44771,59.354465
DEFECTION,DEFECTION,,3000000,"disaster, accident and emergency incident",Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property,0.31348282,health,0.1704714,0.14301142,0,58.81173,54.09258
DELAY,DELAY,,14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare",0.158238,"conflict, war and peace",0.10030245,0.057935543,0,45.500973,81.34964
DEMOCRACY,DEMOCRACY - POLITICS / GOVERNMENT - Democratic processes,POLITICS / GOVERNMENT,11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states",0.5488862,"conflict, war and peace",0.4125677,0.13631848,4,55.252712,29.694916
DISABILITY,DISABILITY,,7000000,health,All aspects of physical and mental well-being,0.34012347,labour,0.2307165,0.10940698,1,78.53468,59.021904
DISASTER,DISASTER - ENVIRONMENT / NATURAL HAZARDS - Natural disasters,ENVIRONMENT / NATURAL HAZARDS,3000000,"disaster, accident and emergency incident",Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property,0.67101747,environment,0.47551757,0.1954999,7,63.61876,6.7161083
