theme_code,text_repr,iptc_rule_id,iptc_rule_label,rule_confidence,iptc_nn_id,iptc_nn_label,nn_score,iptc_second_id,iptc_second_label,second_score,iptc_final_id,iptc_final_label,decision_source,final_confidence,tsne_x,tsne_y
ACT,ACT - Act,,,0.0,02000000,"crime, law and justice",0.318124383687973,11000000,politics and government,0.2623347043991089,02000000,"crime, law and justice",nn_weak,0.318124383687973,34.8731689453125,45.437843322753906
AFFECT,AFFECT - SOCIETY / SOCIAL ISSUES - Emotional content and sentiment - Affect,08000000,human interest,0.9,14000000,society,0.4878619313240051,01000000,"arts, culture, entertainment and media",0.3989377021789551,14000000,society,nn_override,0.4878619313240051,24.58082389831543,23.167715072631836
AGRICULTURE,AGRICULTURE - ECONOMY / FINANCE - Agricultural activities - Agriculture,,,0.0,04000000,"economy, business and finance",0.6296687126159668,10000000,lifestyle and leisure,0.45228007435798645,04000000,"economy, business and finance",nn_confident,0.6296687126159668,10.804445266723633,49.904884338378906
AID,AID - Aid,13000000,science and technology,0.9,14000000,society,0.2974327504634857,03000000,"disaster, accident and emergency incident",0.28450286388397217,13000000,science and technology,rule_preferred,0.9,54.51732635498047,64.57856750488281
ALLIANCE,ALLIANCE - Alliance,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.2942839562892914,15000000,sport,0.24117527902126312,16000000,"conflict, war and peace",agreement,0.9,46.09351348876953,26.452743530273438
APPOINTMENT,APPOINTMENT - Appointment,09000000,labour,0.9,17000000,weather,0.16018612682819366,07000000,health,0.1503339409828186,09000000,labour,rule_preferred,0.9,67.3670654296875,5.0
ARMEDCONFLICT,ARMEDCONFLICT - CONFLICT / WAR / PEACE - Armed conflicts and military operations - Armedconflict,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.7253273725509644,11000000,politics and government,0.2963492274284363,16000000,"conflict, war and peace",agreement,0.9,36.70600128173828,14.093949317932129
ARREST,ARREST - Arrest,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.442369282245636,11000000,politics and government,0.17874085903167725,02000000,"crime, law and justice",agreement,0.9,52.47936248779297,35.93923568725586
ASSASSINATION,ASSASSINATION - Assassination,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.24439799785614014,16000000,"conflict, war and peace",0.22701197862625122,02000000,"crime, law and justice",agreement,0.9,48.23857116699219,37.830562591552734
AUSTERITY,AUSTERITY - Austerity,04000000,"economy, business and finance",0.9,11000000,politics and government,0.3472282886505127,14000000,society,0.33745068311691284,04000000,"economy, business and finance",ambiguous,0.6236141443252563,14.40451431274414,52.91579818725586
AVIATION,AVIATION - Aviation,13000000,science and technology,0.9,15000000,sport,0.2865920662879944,13000000,science and technology,0.2534942626953125,13000000,science and technology,rule_preferred,0.9,64.00942993164062,86.2567367553711
BAN,BAN - Ban,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.1379425823688507,13000000,science and technology,0.11015470325946808,02000000,"crime, law and justice",agreement,0.9,72.82550048828125,33.83443069458008
BLACK,BLACK - Black,14000000,society,0.8,17000000,weather,0.13566309213638306,02000000,"crime, law and justice",0.13050195574760437,14000000,society,rule_preferred,0.8,55.7142448425293,57.83243942260742
BLOCKADE,BLOCKADE - Blockade,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.14575660228729248,09000000,labour,0.12450432777404785,16000000,"conflict, war and peace",agreement,0.9,69.74524688720703,30.807531356811523
BORDER,BORDER - Border,09000000,labour,0.9,09000000,labour,0.23146328330039978,11000000,politics and government,0.1982523649930954,09000000,labour,agreement,0.9,75.56343841552734,63.98058319091797
BULLYING,BULLYING - Bullying,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.2257952243089676,05000000,education,0.18879172205924988,02000000,"crime, law and justice",agreement,0.9,86.26190948486328,34.453861236572266
CEASEFIRE,CEASEFIRE - Ceasefire,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.44507789611816406,03000000,"disaster, accident and emergency incident",0.20249369740486145,16000000,"conflict, war and peace",agreement,0.9,42.87858200073242,15.582830429077148
CHARASMATIC,CHARASMATIC - Charasmatic,08000000,human interest,0.9,08000000,human interest,0.08541879057884216,02000000,"crime, law and justice",0.084695003926754,08000000,human interest,agreement,0.9,56.170082092285156,94.5213394165039
CHECKPOINT,CHECKPOINT - Checkpoint,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.16811922192573547,03000000,"disaster, accident and emergency incident",0.08975960314273834,16000000,"conflict, war and peace",agreement,0.9,33.83865737915039,85.70986938476562
CLAIM,CLAIM - Claim,09000000,labour,0.9,09000000,labour,0.25813013315200806,03000000,"disaster, accident and emergency incident",0.1639334112405777,09000000,labour,agreement,0.9,81.02980041503906,46.236900329589844
CLOSURE,CLOSURE - Closure,03000000,"disaster, accident and emergency incident",0.9,12000000,religion,0.10321018099784851,16000000,"conflict, war and peace",0.09568660706281662,03000000,"disaster, accident and emergency incident",rule_preferred,0.9,31.104835510253906,80.76762390136719
CONFISCATION,CONFISCATION - Confiscation,02000000,"crime, law and justice",0.9,11000000,politics and government,0.06018262356519699,02000000,"crime, law and justice",0.03382459655404091,02000000,"crime, law and justice",rule_preferred,0.9,75.77052307128906,32.058685302734375
CONSTITUTIONAL,CONSTITUTIONAL - Constitutional,11000000,politics and government,0.9,02000000,"crime, law and justice",0.36697033047676086,11000000,politics and government,0.36093050241470337,11000000,politics and government,ambiguous,0.6334851652383804,29.215970993041992,49.17242431640625
CORRUPTION,CORRUPTION - Corruption,02000000,"crime, law and justice",0.9,11000000,politics and government,0.35454288125038147,02000000,"crime, law and justice",0.30743664503097534,02000000,"crime, law and justice",ambiguous,0.6272714406251907,22.644683837890625,73.80207061767578
CRIME,CRIME - Crime,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.6426516771316528,11000000,politics and government,0.36845117807388306,02000000,"crime, law and justice",agreement,0.9,55.74890899658203,43.74879837036133
CRISISLEX,CRISISLEX - CONFLICT / WAR / PEACE - Crisis events and conflicts - Crisislex,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.5683631300926208,03000000,"disaster, accident and emergency incident",0.46866536140441895,16000000,"conflict, war and peace",agreement,0.9,31.82205581665039,17.05487060546875
